experiment,owner,task,judge,status,started_at,finished_at,language,model,tooling,prompt,effort,agent,stack,replicate,code_quality,test_coverage,defect_rate,maintainability,idiomatic,token_efficiency,requirement_coverage,factual_accuracy,runtime,duration_seconds,tokens,cost_usd,turns,max_context_tokens,second_try,agent_steps
retort/experiment-15,retort,unknown,,failed,2026-06-13 16:58:12.861388,2026-06-13 16:58:12.861395,typescript,openrouter/deepseek/deepseek-v3.2,none,,,omp,,2,0.0,0.0,0.0,0.0,,0.0,,,,183.49789420794696,1331986.0,0.1306729636,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 16:59:06.909065,2026-06-13 16:59:06.909069,java,openrouter/deepseek/deepseek-v3.2,none,,,omp,,3,1.0,0.8571428571428571,1.0,0.9445782166104872,,0.002088306710835036,,,,366.4352691669483,2930604.0,0.2878904988,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 18:39:08.329288,2026-06-13 18:39:08.329291,java,openrouter/qwen/qwen3.7-plus,none,,,omp,,2,1.0,1.0,1.0,0.9533244056158777,,0.007453946977376307,,,,249.25654783400023,622489.0,0.078621312,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 18:49:22.330240,2026-06-13 18:49:22.330245,rust,openrouter/deepseek/deepseek-v3.2,none,,,omp,,3,0.8333333333333334,1.0,0.9163179916317992,0.8907204889384136,,0.02246020002396498,,,,485.3533524999998,3588570.0,0.3442175904000001,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 18:50:25.130376,2026-06-13 18:50:25.130382,java,openrouter/moonshotai/kimi-k2.7-code,none,,,omp,,3,1.0,1.0,1.0,0.9637432728373029,,0.004432974573241728,,,,346.420647292,1479819.0,0.30024979,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 18:54:08.171835,2026-06-13 18:54:08.171838,java,openrouter/qwen/qwen3.7-plus,none,,,omp,,3,1.0,1.0,1.0,0.9669106148832075,,0.0036898036716963016,,,,279.80159229100036,1170794.0,0.12557375999999998,,,,
retort/experiment-15,retort,unknown,,failed,2026-06-13 18:57:00.573001,2026-06-13 18:57:00.573004,typescript,openrouter/deepseek/deepseek-v3.2,none,,,omp,,3,0.0,0.0,0.0,0.0,,0.0,,,,394.99542016700025,2616305.0,0.2580586928,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:01:36.564250,2026-06-13 19:01:36.564252,typescript,openrouter/qwen/qwen3.7-plus,none,,,omp,,3,0.7333333333333334,0.92,1.0,0.8092041806915206,,1.0,,,,272.0820912910003,866805.0,0.10180620799999998,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:10:39.141070,2026-06-13 19:10:39.141073,rust,openrouter/minimax/minimax-m3,none,,,omp,,3,0.8333333333333334,1.0,1.0,0.8463719856462552,,0.06266772970871792,,,,537.872918,3426644.0,0.25622226000000003,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:19:45.621247,2026-06-13 19:19:45.621251,rust,openrouter/qwen/qwen3.7-plus,none,,,omp,,3,0.8333333333333334,1.0,1.0,0.4560605928406667,,0.022494921533210876,,,,544.9365226670006,3126928.0,0.29663801600000006,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:28:30.499110,2026-06-13 19:28:30.499112,java,openrouter/minimax/minimax-m3,none,,,omp,,3,1.0,1.0,1.0,0.9421201489247438,,0.0046198189638210424,,,,520.3530843330009,3359439.0,0.26280203999999996,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:34:56.256242,2026-06-13 19:34:56.256244,go,openrouter/anthropic/claude-opus-4.8,none,,,omp,,1,1.0,0.6859999999999999,1.0,0.8666412957423756,,0.006868795131724448,,,,188.166808209,1470418.0,1.9036525000000004,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:37:42.951861,2026-06-13 19:37:42.951863,rust,openrouter/anthropic/claude-opus-4.8,none,,,omp,,1,0.8333333333333334,1.0,1.0,0.9351301159870634,,0.07772747461681719,,,,166.31704974999957,1026664.0,1.5455577500000002,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 19:41:03.840560,2026-06-13 19:41:03.840564,java,openrouter/anthropic/claude-opus-4.8,none,,,omp,,1,1.0,1.0,1.0,0.7585504966089317,,0.0107471924979748,,,,196.18561070800024,990026.0,1.6182765,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 20:57:00.256288,2026-06-13 20:57:00.256294,rust,openrouter/qwen/qwen3.7-plus,none,,,omp,,1,0.8333333333333334,1.0,1.0,0.6664439848173785,,0.051585634178521314,,,,518.1992762919999,1530271.0,0.16599449600000002,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:06:13.469946,2026-06-13 21:06:13.469948,java,openrouter/deepseek/deepseek-v3.2,none,,,omp,,1,1.0,1.0,1.0,0.9545050369088327,,0.0028278412927068303,,,,546.7249563749992,4434478.0,0.43266562040000006,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:18:13.564874,2026-06-13 21:18:13.564876,rust,openrouter/minimax/minimax-m3,none,,,omp,,2,0.8333333333333334,1.0,1.0,0.8265235255290704,,0.04400512512102222,,,,712.185808582999,4918518.0,0.36107538000000006,,,,
retort/experiment-15,retort,unknown,,failed,2026-06-13 21:25:00.021047,2026-06-13 21:25:00.021052,python,openrouter/z-ai/glm-5.1,none,,,omp,,1,0.0,0.0,0.0,0.0,,0.0,,,,106.92433537500074,551758.0,0.14864620399999998,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:25:48.463342,2026-06-13 21:25:48.463346,go,openrouter/z-ai/glm-5.1,none,,,omp,,1,1.0,0.679,1.0,0.9257709376072706,,0.008283369740912306,,,,157.26169995800046,968205.0,0.311586996,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:26:13.701573,2026-06-13 21:26:13.701582,go,openrouter/tencent/hy3-preview,none,,,omp,,1,0.9555555555555556,0.701,1.0,0.9900854700854701,,0.012510447611433183,,,,182.4947157080005,936817.0,0.028356236999999992,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:26:52.675339,2026-06-13 21:26:52.675345,typescript,openrouter/z-ai/glm-5.1,none,,,omp,,1,0.7333333333333334,1.0,1.0,0.6615523518744112,,1.0,,,,220.71100783300062,1335421.0,0.3257108119999999,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:28:53.808953,2026-06-13 21:28:53.808957,go,openrouter/z-ai/glm-5.1,none,,,omp,,2,1.0,0.65,1.0,0.887367362140847,,0.02237438681515379,,,,158.3174800830002,473756.0,0.113624896,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:30:38.369815,2026-06-13 21:30:38.369817,java,openrouter/z-ai/glm-5.1,none,,,omp,,2,1.0,1.0,1.0,0.9738998672184042,,0.004535994876242407,,,,218.8859019169995,1252206.0,0.29516919599999997,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:31:32.152194,2026-06-13 21:31:32.152196,rust,openrouter/z-ai/glm-5.1,none,,,omp,,1,0.8333333333333334,1.0,0.9545454545454546,0.9349595342799807,,0.06416574652050248,,,,387.63695816699874,2379151.0,0.5384311520000001,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:32:33.668771,2026-06-13 21:32:33.668774,typescript,openrouter/tencent/hy3-preview,none,,,omp,,1,0.7333333333333334,0.8187000000000001,1.0,0.5682274581277019,,1.0,,,,395.38334374999977,2102030.0,0.05665304399999998,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:32:41.892719,2026-06-13 21:32:41.892722,rust,openrouter/z-ai/glm-5.1,none,,,omp,,2,0.8333333333333334,1.0,1.0,0.8193474411538433,,0.06321423150430248,,,,219.0889389999993,1192453.0,0.26427758,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:33:46.012734,2026-06-13 21:33:46.012738,go,openrouter/tencent/hy3-preview,none,,,omp,,2,1.0,0.5529999999999999,1.0,0.8762804818318535,,0.011956434878397393,,,,183.25170550000075,988589.0,0.032290125,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:38:05.008280,2026-06-13 21:38:05.008282,rust,openrouter/tencent/hy3-preview,none,,,omp,,1,0.8333333333333334,1.0,1.0,0.8618286375757918,,0.10589396328917766,,,,327.654583042,1457118.0,0.040000275,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:38:27.130531,2026-06-13 21:38:27.130535,java,openrouter/z-ai/glm-5.1,none,,,omp,,1,1.0,1.0,1.0,0.9707612003083675,,0.0016958289608691357,,,,401.0770232920004,2571014.0,0.600841864,,,,
retort/experiment-15,retort,unknown,,completed,2026-06-13 21:41:30.778165,2026-06-13 21:41:30.778167,typescript,openrouter/tencent/hy3-preview,none,,,omp,,2,0.7333333333333334,0.8759,1.0,0.7858720023763945,,1.0,,,,448.8308258750003,1904227.0,0.05454262799999999,,,,
